ranking,club name
1430,Atlético Choloma
1808,Atlético de Kolkata
2201,Atlético do Namibe
2484,Atlético El Vigía
103,Atlético Goianiense
1668,Atlético Huila
10,Atlético Madrid
2581,Atlético Marte
33,Atlético Mineiro
181,Atlético Nacional
309,Atletico Petro Luanda
97,Atlético PR
561,Atlético Rafaela
634,Atlético San Luis
2452,Atletico Socopo
1868,Atlético Sport Aviação
571,Atlético Tucumán
1874,Atlético Venezuela
2559,Atlético Veragüense
884,Atromitos
1665,Åtvidaberg
1518,Atyrau
383,Aucas
141,Auckland City
603,Audax Italiano La Florida
161,Augsburg
1756,Aurora
1210,Austin FC
2583,Austria Kärnten
550,Austria Wien
406,Auxerre
749,Avaí FC
1316,Avenir de La Marsa
1402,Avion Fc Du Nkam
1202,Avispa Fukuoka
1023,Ayacucho FC
2724,Ayia Napa
91,AZ Alkmaar
1458,AZAL PFC Baku
2137,Azam
1787,Ba
2343,Babeti ya Sika
192,Bahia
1373,Bakaridjan de Barouéli
1153,Bakı
442,Bala Town FC
806,Bali United
1205,Balıkesirspor
2696,Ballinamallard United
1909,Ballymena United
1282,Balmazújváros
765,Bamboutos
455,Banfield
2710,Banga Gargzdai
502,Bangkok United
510,Bangor City
319,Baník Ostrava
1093,Baniyas
2431,Bantous
2393,Bantu Rovers
2633,Barbican FC
11,Barcelona
170,Barcelona SC
667,Bari
1872,Barito Putera
1861,Barnechea
1884,Baroka FC
435,Barracas Central
1533,Barrio México
1546,Barry Town United FC
92,BATE Borisov
1279,Bayamón FC
1497,Bayelsa United
18,Bayer Leverkusen
4,Bayern München
2683,BBCU FC
1396,Bechem United
480,Beijing Guoan
2316,Beijing Renhe
1021,Beira-Mar
845,Beitar Jerusalem FC
2626,Bekaa SC
1733,Bekescsaba
1762,Bełchatów
1611,Belén Siglo XXI
932,Belenenses
359,Belgrano
1136,Bella Vista
2312,Bellinzona
1742,Belshina Bobruisk
949,Ben Guerdane
1288,Bendel Insurance
607,Benevento
17,Benfica
987,Benfica Luanda
959,Bengaluru FC
1894,Béni-Khalled
2726,Berane
1952,Berekum Arsenal
1082,Berekum Chelsea FC
474,Beroe
253,Beşiktaş
2762,BFC Daugavpils
350,BG Pathum United
927,Bhayangkara FC
2027,Bibiani Gold Stars F.C.
443,Bidvest Wits
2210,Binh Duong
294,Birmingham City
404,BK Häcken
2587,Black Leopards
1806,Black Mambas
1840,Black Rhinos
413,Blackburn Rovers F.C.
378,Blackpool
1939,Blessing FC
1101,Bloemfontein Celtic
1187,Blooming
1208,Bnei Sakhnin
1012,Bnei Yehuda Tel Aviv FC
485,Boavista
83,Boca Juniors
165,Bochum
151,Bodø / Glimt
553,Bohemian FC
728,Bohemians 1905
182,Bolívar
160,Bologna
1486,Bolognesi
356,Bolton Wanderers
2526,Bontang PKT
726,Borac Banja Luka
2521,Borac Čačak
562,Bordeaux
23,Borussia Dortmund
71,Borussia Mönchengladbach
572,Boston River
1181,Botafogo FC
513,Botafogo FR
499,Botev Plovdiv
1507,Botev Vratsa
618,Botoşani
1926,Bouaké FC
683,Boulogne
1411,Boyacá Chicó FC
2732,Boys' Town
68,Braga
410,Brasilia
1158,Braşov
2313,Bray Wanderers
99,Brentford FC
795,Brescia
322,Brest
58,Brighton & Hove Albion
1480,Brisbane Roar FC
2654,Brommapojkarna
430,Brøndby
2638,Brong Ahafo Stars
1343,Brujas
1949,BSK Borča
1534,Bucaspor
2097,Budafoki MTE
374,Budućnost
1900,Buffaloes FC
1993,Buildcon
2306,Bukavu Dawa
1206,Bukola Babes
1969,Bulawayo Chiefs
2309,Bulawayo City FC
681,Bunyodkor Tashkent
232,Buriram United
164,Burnley
787,Bursaspor
1350,Busan I'Park
2490,Buxoro
1333,C.A. Cerro
1703,C.D. Hermanos Colmenarez
2152,C.D. Honduras Progreso
2051,C.D. Lunda Sul
2025,CA Batna
921,CA Bizertin
2493,CA Bordj Bou Arreridj
354,CA Central Cordoba
1086,CA Palmaflor
1943,Cabinda
112,Cádiz CF
687,Caen
1499,Caernarfon
2663,Caersws
327,Cagliari
2745,Caguas Huracán
1523,Caïman Douala
2505,Caledonia AIA
982,Cambuur
2054,Canon Buromeca
942,Canon Sportif
1103,Canterbury United
1545,Capaco
671,Cape Town City FC
840,CAPS United
1108,Carabobo FC
492,Caracas
364,Cardiff City
1177,Cardiff Met University
743,Carlos A. Mannucci
1731,Carmarthen
2640,Carolina Gigantes
2601,Caroní
231,Carpi
2760,Carrick Rangers
648,Cartaginés
2487,CAS de Sévaré
307,Catania
1393,Cavaliers FC
2370,Cavaly
1311,CD America de Quito
663,CD Antofagasta
2244,CD Audaz
1839,CD Chalatenango
1866,CD das Aves
1735,CD EL Vencedor
1087,CD FAS
773,CD Jaguares
2560,CD Junior Managua
2621,CD Ocotal
2438,CD Olmedo
2590,CD Petapa
1719,CD Platense Municipal
863,CD Plaza Amador
2318,CD Real de Minas
362,CD Santa Clara
2565,CD Sonsonate
913,CD UT Cajamarca
834,CD Vida
2040,Ceahlăul Piatra
79,Ceará SC
2735,Cefn Druids AFC
1715,Čelik Nikšić
1990,Čelik Zenica
66,Celta Vigo
47,Celtic
1367,Central
2075,Central Coast Mariners FC
977,Central Español
1989,Central Sport
1477,Centre Salif Kéita
2411,Centro Ítalo
1222,Ceramica Cleopatra
708,Cercle Brugge
397,Cerezo Osaka
1494,Cerrito
733,Cerro Largo
133,Cerro Porteño
1447,Cerro Porteño PF
907,Cesena
956,České Budějovice
874,CF Montreal
140,CF Pachuca
2568,CF Ungheni
102,CFR Cluj
1489,Chabab Atlas Khénifra
1754,Chabab Rif Al Hoceima
1074,Chacarita Juniors
1910,Chainat FC
2311,Chambishi FC
801,Changchun Yatai
1084,Chapecoense AF
1763,Chapungu United
1015,Charlotte FC
718,Chaves
8,Chelsea FC
1773,Chengdu Blades
1544,Chengdu Rongcheng F.C.
1936,Chennai City FC
1972,Chennaiyin FC
1555,Chepo FC
355,Cherno More Varna
739,Chernomorets Burgas
2321,Chiangmai FC
875,Chiangrai United
1659,Chicago Fire
617,Chicken Inn FC
783,Chievo Verona
1642,Chikhura
2644,Chinandega FC
1667,Chippa United
2391,Chirag Kerala
2436,Chiredzi FC
2617,Chivas USA
889,Chonburi FC
1527,Chongqing Liangjiang Athletic F.C.
1548,Chornomorets Odesa
980,Chorrillo
904,Churchill Brothers SC
2301,Cibalia
2322,Cibao
1529,Ciclon
451,Cienciano
1724,Clan Juvenil
533,Clermont Foot
886,Cliftonville
521,Club Africain
576,Club Atlético Bucaramanga
1110,Club Atlético Grau
2416,Club Atletico Pantoja
208,Club Atlético Platense
800,Club Atletico Progreso
525,Club Atletico Torque
74,Club Brugge
785,Club Deportivo Maldonado
2190,Club Olympique de Médenine
2440,Club Omnisports de Korhogo (CIV)
1176,Club Petrolero
270,Club Puebla
1165,Club River Plate
2367,Club Sando
300,Club Sport Herediano
737,Club Tijuana
1363,CNI
2337,CO Bouafle
2282,Coatepeque
865,Coban Imperial
890,Cobreloa
586,Cobresal
2048,Cobresol
1705,CODM Meknès
986,Coleraine
260,Colo Colo
798,Colombe du Dja et Lobo
2409,Colón C-3
305,Colón Santa Fe
736,Colorado Rapids
725,Columbus Crew
1492,Comerciantes Unidos
2243,Concordia Chiajna
333,Connah's Quay
779,Consadole Sapporo
1069,Coquimbo Unido
880,Córdoba CF
80,Corinthians
349,Coritiba
707,Cork City
2542,Corona Braşov
1142,Cortuluá
2082,Cosmos de Bafia
1726,Costuleni
367,Coton Sport
217,CR Belouizdad
813,Cracovia Kraków
2315,Cranborne Bullets FC
626,Criciúma
2593,Croatia Sesvete
585,Crotone
2034,Crown FC
1645,Crucero del Norte
906,Crusaders
237,Cruz Azul
304,Cruzeiro
56,Crystal Palace
684,CS Alagoano AL
520,CS Constantine
782,CS Deportivo Pereira
2162,CS Fola Esch
2013,CS Hammam-Lif
2379,CS Makiso
590,CS Marítimo Madeira
2218,CS Mioveni
465,CS Petrocub
346,CS Sfaxien
239,CS Universitatea Craiova
1682,CS Uruguay
302,CSD Comunicaciones
358,CSD Municipal
157,CSKA Moskva
2124,CSMS Iaşi
2180,CSyD Carchá
2580,CSyD Nueva Concepción
1272,Cúcuta Deportivo
263,Cuiaba
331,Čukarički
1106,Cumbayá FC
2172,Cunupia FC
547,Curicó Unido
996,Cusco FC
1804,Dacia Buiucani
167,Dacia Chisinau
407,Daegu FC
2437,Daejeon Citizen
2766,Dainava Alytus
1674,Dalian Professional FC
1609,Dalian Shide
1805,Dalkurd FF
950,Damac FC
1271,Damash
1765,Dan Kassawa
633,Danubio
386,Darmstadt
2388,Dauphins Noirs
1297,DC United
1073,De Graafschap
2482,Debo Club
968,Debrecen
1766,Dečić
799,Defence Force FC
73,Defensa y Justicia
1232,Defensor La Bocana
719,Defensor Sporting
1663,Degerfors IF
440,Delfin SC
1916,Delhi Dynamos FC
1399,Delta Force FC
2283,Deltras Sidoarjo
523,Dempo SC
1563,Denguélé Sport
2010,Denizlispor
1011,Deportes Iquique
1092,Deportes La Serena
1562,Deportes Quindío
836,Deportes Temuco
2408,Deportiva Carmelita
901,Deportiva San Carlos
1608,Deportivo Achuapa
299,Deportivo Alaves
1530,Deportivo Anzoátegui
988,Deportivo Binacional
324,Deportivo Cali
1125,Deportivo Capiatá
1255,Deportivo Carapeguá
1814,Deportivo Chiantla
673,Deportivo Cuenca
1607,Deportivo del Este
559,Deportivo Heredia
330,Deportivo La Coruña
1248,Deportivo La Guaira FC
981,Deportivo Lara
2331,Deportivo Las Sabanas
1620,Deportivo Llacuabamba
1220,Deportivo Los Caimanes
647,Deportivo Malacateco
1958,Deportivo Marquense
1942,Deportivo Mixco
1050,Deportivo Municipal
823,Deportivo Pasto
2421,Deportivo Petare
1051,Deportivo Quevedo
1305,Deportivo Quito
1269,Deportivo Sanarate
1493,Deportivo Santaní
476,Deportivo Saprissa
2134,Deportivo Savio
517,Deportivo Táchira
1197,Deportivo Walter Ferretti
311,Deportivo Xerez
2175,Deportivo Zulia
519,Derry City
1351,Desportivo Da Huíla
2567,Destroyers
2123,Diables Noirs
2204,Diaraf
2550,Dibba Al-Fujairah Club
928,Difaâ El Jadida
2197,Differdange 03
1081,Dijon
1046,Dila Gori
2657,Dinamo Bender
1583,Dinamo Bucureşti
215,Dinamo Minsk
163,Dinamo Moskva
2635,Dinamo Samarkand
452,Dinamo Tbilisi
2050,Dinamo Vranje
54,Dinamo Zagreb
1699,Dinamo-Auto
1464,Diósgyör
923,Diriangén FC
1734,Diyarbakirspor
396,Djoliba AC
268,Djurgården
2709,Dnepr Mogilev
214,Dnipro Dnipropetrovsk
376,Dolphins FC
2473,Domant FC
508,Domžale
1247,Don Bosco SC
2333,Dongo
1042,Dorados Sinaloa
1744,Douanes Niamey
2459,Douglas Warriors
2046,Doxa Dramas
1257,Doxa Katokopia
1717,Dragon
2420,Dragón
1815,Dragon de Yaoundé
1629,Dragons
1790,Drava
1283,DRB Tadjenanet
1701,Dreams FC
1780,Drogheda United
275,DSC Arminia Bielefeld
2195,DSK Shivajians
2656,Dubai Club
1865,Dubnica
1483,Duguwolofila
1946,Dukla Banska Bystrica
1625,Dukla Praha
415,Dunajska Streda
1882,Dunaújváros Pálhalma SE
1824,Dunav Ruse
1748,Dunbeholden FC
317,Dundalk FC
2615,Dundee FC
1045,Dundee United
2274,Dunfermline Athletic
2767,Dungannon Swifts
63,Dynamo Kyiv
278,Dynamos
2467,Džiugas Telšiai
1830,Eagles
552,East Bengal Club
2338,Eastern Sports Club
931,Eastern Stars
910,Eastern Suburbs
1436,Ebusua Dwarfs
283,EC Juventude
738,Eding Sport FC
2445,EFYM
2516,Eger
1669,EGS Gafsa
254,Eibar
426,Eintracht Braunschweig
50,Eintracht Frankfurt
1532,Ekranas
1858,El Dakhleya
2145,El Dorado
1628,El Entag El Harby
829,El Geish
1508,El Gounah
537,El Jaish (Doha)
1240,El Kanemi Warriors
2032,El Mansura
2060,El Minya
1111,El Nacional
2227,El Nasr Tadeen
2558,El Nsoor
1967,El Raja
974,El Tanque Sisley
178,El Zamalek
1982,El-Sharkia Lel Dokhan (Eastern Company SC)
934,Elazığspor
155,Elche
2194,Eleven Wise
2026,Eleven Wonders FC
384,Elfsborg
1672,Elima
2455,Elmina Sharks
186,Emelec
2742,Emirates Club
297,Empoli FC
1575,Enosis Paralimni
610,ENPPI
1852,Entente Sportive du Bafing
565,Enugu Rangers
769,Envigado
505,Enyimba
1727,EO Sidi Bouzid
2231,Erakor Golden Star
1404,Ergotelis
1951,Ermis Aradippou
1038,Erzurum BB
2469,ES Bingerville
418,ES Sétif
1757,Esan United
1823,Esbjerg fB
1004,Eskişehirspor
146,Esperance de Tunis
2268,Espoir
1817,ESPOLI
168,Esteghlal
2606,Esteghlal Ahvaz
1564,Esteghlal Khuzestan FC
685,Estoril
2619,Estudiantes de Caracas
87,Estudiantes de la Plata
1541,Estudiantes de Mérida
1324,Estudiantes Tecos
1320,Etar
1573,Ethnikos Achnas
2171,Etoile du Kivu
285,Etoile du Sahel
1238,Etoile Metlaoui
1406,Eupen
578,Everton CD
135,Everton FC
481,Evian TG
853,Excelsior
1838,F91 Dudelange
2047,FA Šiauliai
2697,Fajardo
1758,Fajr Sepasi
2609,Falkenbergs FF
1695,Falkirk
546,FAR Rabat
936,Farul Constanța
486,Fatih Karagümrük
1370,Fauve Azur Elite FC
2483,FB Gulbene
245,FBC Melgar
2443,FC Academia Chisinau
2138,FC Alashkert
1514,FC Anzhi Makhachkala
858,FC Arda Kardzhali
1795,FC Arsenal Dzerzhinsk
1162,FC Arsenal Kiev
1124,FC Ashdod
172,FC Basel
1079,FC Bravos DO Maquis
632,FC Brest
1627,FC Carlos Stein
1227,FC Chindia Târgovişte
2624,FC Cincinnati
2763,FC Codru Lozova
812,FC CSKA 1948 Sofia
759,FC Dallas
1421,FC Daugava
652,FC Dinamo Batumi
1685,FC Dnyapro Mogilev
1517,FC Dordrecht
1706,FC Dunărea Călăraşi
2354,FC Edmonton
674,FC Emmen
962,FC Energetik-BGU Minsk
379,FC Famalicão
1278,FC Fastav Zlin
2739,FC Floreşti
2232,FC Gagra
2090,FC Goa
587,FC Groningen
2677,FC Guria Lanchkhuti
2350,FC Helsingør
351,FC Infonet Tallinn
507,FC Inter Turku (FIN)
1134,FC Juárez
2758,FC Jurmala
1889,FC Kapaz
2757,FC Kolkheti-1913 Poti
606,FC Kolos Kovalivka
201,FC Krasnodar
2540,FC KTP
2652,FC Kuressaare
885,FC Lahti
2149,FC Lubumbashi sport
1802,FC Luch Minsk
1441,FC Lviv
2381,FC Ma'an
2199,FC Maktaaral
2348,FC Masr
2512,FC Merani Tbilisi
148,FC Midtjylland
388,FC Milsami Orhei
1896,FC Minaj
1190,FC Minsk
2205,FC MK
920,FC Nizhny Novgorod
709,FC Orenburg
2187,FC Pasching
695,FC Platinum
13,FC Porto
2376,FC Pune City
1794,FC Rapid Ghidighici
2247,FC Renaissance du Congo
584,FC Ruh Brest
2628,FC Rustavi
1755,FC Samgurali Tskhaltubo
2544,FC Samtredia
2589,FC Saxan
664,FC Seoul
60,FC Sheriff
2708,FC Shukura Kobuleti
2235,FC Simba
2591,FC Sioni Bolnisi
925,FC Skonto Riga
2576,FC Smorgon
2270,FC Spicul Chișcăreni
489,FC St. Gallen 1879
1362,FC Struga Trim-Lum
2572,FC Stumbras
1957,FC Telavi
491,FC Tokyo
2753,FC Torpedo Minsk
825,FC Torpedo Moscow
1359,FC Tsarsko Selo Sofia 2015
1954,FC Tskhinvali
150,FC Twente
1180,FC U Craiova 1948
721,FC Ufa
543,FC Ural
282,FC Utrecht
1567,FC Vaduz
423,FC Vaslui
857,FC Veris
756,FC Vizela
973,FC Voluntari
1932,FC Wacker Innsbruck
1365,FC Zbrojovka Brno
2746,FC Zugdidi
64,FCI Levadia Tallinn
1515,Feirense
113,Fenerbahçe
628,Fénix
174,Ferencváros
1778,Ferroviário da Beira
2339,Ferroviário Do Huambo
947,Feutcheu FC
49,Feyenoord
1655,FF Jaro
2257,FH Hafnarfjordur
503,Figueirense
1917,Finn Harps
94,Fiorentina
1115,FK AGMK
400,FK Akhmat Grozny
2044,FK Aksu
2058,FK Arys
2281,FK Atlantas
2100,FK Auda
2752,FK Bačka Palanka
2673,FK Belasica Strumica
2021,FK Bokelj
2401,FK Borec Veles
2332,FK Bregalnica Stip
446,FK Desna Chernihiv
1904,FK Donji Srem
2643,FK Drina Zvornik
2242,FK Gorno Lisice
1214,FK Gorodeya
2702,FK Gostivar
2549,FK Guliston
1077,FK Haugesund
1994,FK Horizont Turnovo
2494,FK Inđija
1170,FK Inhulets' Petrove
1289,FK Iskra
1728,FK Istiqlol Dushanbe
2620,FK Jelgava
1739,FK Jerv
1881,FK Jezero Plav
1777,FK Kaspiy Aktau
1424,FK Kauno Zalgiris
1435,FK Kolubara
2147,FK Kom Podgorica
1944,FK Krupa
2699,FK Leotar
989,FK Liepājas Metalurgs
1364,FK Mariupol Illichivets'
1977,FK Metalac
2627,Fk Metalurg Skopje
2769,FK Metta
2238,FK Mladost Doboj Kakanj
1003,FK Mladost Lučani
2113,FK Olympic Tashkent
2653,FK Palanga
1473,FK Panevėžys
784,FK Pardubice
2427,FK Podgorica
2435,FK Pohronie
1720,FK Proleter Novi Sad
912,FK Radnik Surdulica
26,FK Red Star Belgrade
924,FK Riteriai
477,FK Rostov
1243,FK Rotor Volgograd
454,FK Sarajevo
2389,FK Senica
1287,FK Septemvri Sofia
2107,FK Šilas
1922,FK Sileks
2423,FK Skopje
1433,FK Slutsk
1228,FK Spartak Subotica
2347,FK Spartaks
2714,FK Sputnik Rechytsa
1713,FK Tambov
2725,FK Tauras Taurage
2692,FK Teteks
1280,FK Tosno
2713,FK Tukums 2000
2405,FK Turan
1078,FK Tuzla City
2570,FK Utenis Utena
1268,FK Vitebsk
1846,FK Zemun
869,FK Zirka Kirovohrad
2292,FK Zlatibor Čajetina
2000,FK Zvijezda 09
1621,FKS Stal Mielec
2191,Flame Lilly
40,Flamengo
1959,Flint Town United
38,Flora Tallinn
106,Fluminense FC
437,Foolad Khuzestan
2302,Forest Rangers
2225,Forge FC
216,Fortaleza
203,Fortuna Düsseldorf
750,Fortuna Sittard
854,Fovu de Baham
2756,FOX Villa FC
1511,Fredrikstad
1571,Free State Stars
53,Freiburg
631,Frosinone
2634,Fuerza Amarilla SC
416,Fulham
692,FUS Rabat
896,Future FC
1987,Gabès
2019,Gaborone United
2577,Gagauziya
2276,Gahar Zagros
1710,GAIS
2006,Gaitcha FCN
242,Galatasaray
1930,Galway United FC
686,Gamba Osaka
926,Gangwon FC
1675,Gateway FC
2129,Gaz Metan Mediaş
1558,Gaziantepspor
623,Gazişehir Gaziantep FK
2250,GD Baixa de Kassanje
1422,Gefle
1260,Gençlerbirligi
1154,General Caballero
1148,General Caballero JLM
1860,General Díaz
266,Genoa
169,Gent
2314,Germinal Beerschot
109,Getafe
482,GFC Ajaccio
2258,GFK Tikvesh
2008,Ghazl El Mehalla
1725,GIF Sundsvall
2074,Gigira Laitepo
332,Gil Vicente FC
650,Gimcheon Sangmu FC
202,Gimnasia y Esgrima La Plata
807,Giresunspor
200,Girona
1000,Giwa FC
1550,Glenavon
1031,Glentoran
2359,Gloria Bistrita
1218,Go Ahead Eagles
1496,Go Round
308,Godoy Cruz Antonio Tomba
269,Goiás
1369,Gokulam Kerala Fc
522,GOL Gohar Sirjan FC
965,Gold Coast United
1131,Gombe United
751,Gomel
1569,Gorica
2053,Gornik Leczna
877,Gornik Zabrze
2478,GOŠK Gabela
930,Gostaresh Foolad
1704,Göztepe AŞ
2658,Gradina Srebrenik
2178,Gran Valencia FC
189,Granada
1708,Granit
1832,Granit Mikashevichi
1112,Grasshopper Club Zürich
1737,Grbalj Radanovici
1635,Green Buffaloes
1677,Green Eagles
124,Grêmio
696,Grêmio Prudente
662,Grenoble
2751,Gresik United FC
676,Greuther Fürth
1281,Grödig
1893,Grombalia Sports
1254,Guabirá
246,Guadalajara
1347,Guadalupe FC
524,Guaireña FC
915,Gualaceo SC
1471,Guangzhou City F.C.
646,Guangzhou F.C.
210,Guaraní
554,Guarani FC
608,Guastatoya
2646,Guaynabo Fluminense
588,Guingamp
1718,Guizhou Hengfeng
598,Gunners
1188,Gwangju FC
758,Gyeongnam FC
1753,Gyirmót SE
424,Györi ETO
2202,H&H Export Sébaco FC
2177,Ha Noi TT
1221,Hajduk Kula
204,Hajduk Split
2695,Hajer FC Al-Hasa
1445,Haka
1681,Halcones FC
1632,Halmstads BK
1648,Hamam Sousse
1395,Hamarkameratene
207,Hamburger SV
2335,Hamilton Academical
2499,Hamilton Wanderers Afc
293,Hammarby IF
527,Hannover 96
2535,Hapoel Ashkelon
